trial_id,density,column,start_x_frac,goal_x_frac,seed,start_x,start_y,goal_x,goal_y,aorrt_reached,K_edges,control_cost_aorrt,control_cost_scp,control_cost_pct_decrease,risk_cost_aorrt,risk_cost_scp,risk_cost_pct_decrease,log_survive_aorrt,log_survive_scp,log_survive_delta,scp_converged,scp_iters,scp_n_solves,scp_stop_reason,plan_time_s,scp_time_s,total_time_s
7_R_813857,7,R,0.85,0.15,813857,5.1,0.78,0.9,5.22,True,62,33.947452,23.815645,-29.846,23.375441,20.20854,-13.548,-22.0221,-17.2242,4.798,False,30,40,max_iters,11.4654,26.2279,38.2809
7_R_137845,7,R,0.85,0.15,137845,5.1,0.78,0.9,5.22,False,,,,,,,,,,,,,,,11.652,,11.8428
7_R_758723,7,R,0.85,0.15,758723,5.1,0.78,0.9,5.22,False,,,,,,,,,,,,,,,9.1386,,9.3259
7_R_967016,7,R,0.85,0.15,967016,5.1,0.78,0.9,5.22,True,97,50.144737,33.330188,-33.532,36.82834,27.891797,-24.265,-33.8586,-22.26,11.5986,False,30,39,max_iters,11.1361,39.0769,50.8609
7_R_453353,7,R,0.85,0.15,453353,5.1,0.78,0.9,5.22,True,89,23.610197,22.216246,-5.904,49.236695,40.852686,-17.028,-59.6183,-44.5474,15.0709,False,30,40,max_iters,10.9171,36.8609,48.3972
7_R_59345,7,R,0.85,0.15,59345,5.1,0.78,0.9,5.22,False,,,,,,,,,,,,,,,9.6325,,9.8159
7_R_601514,7,R,0.85,0.15,601514,5.1,0.78,0.9,5.22,True,91,21.908812,16.818933,-23.232,47.368908,40.512946,-14.474,-52.565,-41.3983,11.1666,False,30,40,max_iters,10.9062,38.1554,49.6814
7_R_866935,7,R,0.85,0.15,866935,5.1,0.78,0.9,5.22,True,128,17.087167,16.973427,-0.666,48.890681,41.406011,-15.309,-45.3901,-35.5884,9.8017,False,30,39,max_iters,11.4878,55.0758,67.3928
7_R_98489,7,R,0.85,0.15,98489,5.1,0.78,0.9,5.22,True,102,22.594278,20.16708,-10.743,52.912292,36.546596,-30.93,-71.2581,-34.863,36.3951,False,30,41,max_iters,10.8019,43.8989,55.355
7_R_281239,7,R,0.85,0.15,281239,5.1,0.78,0.9,5.22,True,68,22.144557,21.645456,-2.254,34.876727,32.27384,-7.463,-38.1835,-33.9098,4.2737,False,30,42,max_iters,11.5671,31.0366,43.1972
7_R_155272,7,R,0.85,0.15,155272,5.1,0.78,0.9,5.22,True,112,17.408358,22.907768,31.591,72.899985,49.937474,-31.499,-106.155,-52.8015,53.3535,False,30,41,max_iters,11.1752,47.483,59.4717
7_R_281962,7,R,0.85,0.15,281962,5.1,0.78,0.9,5.22,True,89,19.399092,21.921501,13.003,68.630172,50.706343,-26.117,-109.5016,-60.4334,49.0681,False,30,39,max_iters,10.9536,34.2611,45.8439
7_R_371867,7,R,0.85,0.15,371867,5.1,0.78,0.9,5.22,True,144,13.72497,13.239226,-3.539,55.419827,43.911108,-20.766,-51.9281,-35.9386,15.9896,False,30,41,max_iters,11.651,61.8842,74.3768
7_R_494148,7,R,0.85,0.15,494148,5.1,0.78,0.9,5.22,True,78,32.816114,29.714657,-9.451,26.70961,20.574128,-22.971,-28.9131,-15.306,13.6072,False,30,42,max_iters,11.3319,36.366,48.3323
